"","X","Title","Author","Subject","Abstract","Meta"
"11",11,"a new framework for constrained optimization via feedback control of lagrange multipliers","v. cerone, s. m. fosson, s. pirrera, d. regruto","optimization and control (math.oc)","the continuous-time analysis of existing iterative algorithms for optimization has a long history. this work proposes a novel continuous-time control-theoretic framework for equality-constrained optimization. the key idea is to design a feedback control system where the lagrange multipliers are the control input, and the output represents the constraints. the system converges to a stationary point of the constrained optimization problem through suitable regulation. regarding the lagrange multipliers, we consider two control laws: proportional-integral control and feedback linearization. these choices give rise to a family of different methods. we rigorously develop the related algorithms, theoretically analyze their convergence and present several numerical experiments to support their effectiveness concerning the state-of-the-art approaches.",2024-03-19
"12",12,"small distance increment method for measuring complex permittivity with mmwave radar","hang song, hyun joon kim, mingxia wan, bo wei, takamaro kikkawa, jun-ichi takada","signal processing (eess.sp)","measuring the complex permittivity of material is essential in many scenarios such as quality check and component analysis. generally, measurement methods for characterizing the material are based on the usage of vector network analyzer, which is large and not easy for on-site measurement, especially in high frequency range such as millimeter wave (mmwave). in addition, some measurement methods require the destruction of samples, which is not suitable for non-destructive inspection. in this work, a small distance increment (sdi) method is proposed to non-destructively measure the complex permittivity of material. in sdi, the transmitter and receiver are formed as the monostatic radar, which is facing towards the material under test (mut). during the measurement, the distance between radar and mut changes with small increments and the signals are recorded at each position. a mathematical model is formulated to depict the relationship among the complex permittivity, distance increment, and measured signals. by fitting the model, the complex permittivity of mut is estimated. to implement and evaluate the proposed sdi method, a commercial off-the-shelf mmwave radar is utilized and the measurement system is developed. then, the evaluation was carried out on the acrylic plate. with the proposed method, the estimated complex permittivity of acrylic plate shows good agreement with the literature values, demonstrating the efficacy of sdi method for characterizing the complex permittivity of material.",2024-03-19
"13",13,"some geometric and topological data-driven methods in robot motion path planning","boris goldfarb","algebraic topology (math.at)","motion path planning is an intrinsically geometric problem which is central for design of robot systems. since the early years of ai, robotics together with computer vision have been the areas of computer science that drove its development. many questions that arise, such as existence, optimality, and diversity of motion paths in the configuration space that describes feasible robot configurations, are of topological nature. the recent advances in topological data analysis and related metric geometry, topology and combinatorics have provided new tools to address these engineering tasks. we will survey some questions, issues, recent work and promising directions in data-driven geometric and topological methods with some emphasis on the use of discrete morse theory.",2024-03-19
"14",14,"python fuzzing for trustworthy machine learning frameworks","ilya yegorov, eli kobrin, darya parygina, alexey vishnyakov, andrey fedotov","cryptography and security (cs.cr)","ensuring the security and reliability of machine learning frameworks is crucial for building trustworthy ai-based systems. fuzzing, a popular technique in secure software development lifecycle (ssdlc), can be used to develop secure and robust software. popular machine learning frameworks such as pytorch and tensorflow are complex and written in multiple programming languages including c/c++ and python. we propose a dynamic analysis pipeline for python projects using the sydr-fuzz toolset. our pipeline includes fuzzing, corpus minimization, crash triaging, and coverage collection. crash triaging and severity estimation are important steps to ensure that the most critical vulnerabilities are addressed promptly. furthermore, the proposed pipeline is integrated in gitlab ci. to identify the most vulnerable parts of the machine learning frameworks, we analyze their potential attack surfaces and develop fuzz targets for pytorch, tensorflow, and related projects such as hpy. applying our dynamic analysis pipeline to these targets, we were able to discover  new bugs and propose fixes for them.",2024-03-19
"15",15,"bayesian uncertainty evaluation applied to the tilted-wave interferometer","manuel marschall, ines fortmeier, manuel stavridis, finn hughes, clemens elster","optics (physics.optics)","the tilted-wave interferometer is a promising technique for the development of a reference measurement system for the highly accurate form measurement of aspheres and freeform surfaces. the technique combines interferometric measurements, acquired with a special setup, and sophisticated mathematical evaluation procedures. to determine the form of the surface under test, a computational model is required that closely mimics the measurement process of the physical measurement instruments. the parameters of the computational model, comprising the surface under test sought, are then tuned by solving an inverse problem. due to this embedded structure of the real experiment and computational model and the overall complexity, a thorough uncertainty evaluation is challenging. in this work, a bayesian approach is proposed to tackle the inverse problem, based on a statistical model derived from the computational model of the tilted-wave interferometer. such a procedure naturally allows for uncertainty quantification to be made. we present an approximate inference scheme to efficiently sample quantities of the posterior using monte carlo sampling involving the statistical model. in particular, the methodology derived is applied to the tilted-wave interferometer to obtain an estimate and corresponding uncertainty of the pixel-by-pixel form of the surface under test for two typical surfaces taking into account a number of key influencing factors. a statistical analysis using experimental design is employed to identify main influencing factors and a subsequent analysis confirms the efficacy of the method derived.",2024-03-19
"16",16,"system support for environmentally sustainable computing in data centers","fan chen","hardware architecture (cs.ar)","modern data centers suffer from a growing carbon footprint due to insufficient support for environmental sustainability. while hardware accelerators and renewable energy have been utilized to enhance sustainability, addressing quality of service (qos) degradation caused by renewable energy supply and hardware recycling remains challenging: () prior accelerators exhibit significant carbon footprints due to limited reconfigurability and inability to adapt to renewable energy fluctuations; () integrating recycled nand flash chips in data centers poses challenges due to their short lifetime, increasing energy consumption; () the absence of a sustainability estimator impedes data centers and users in evaluating and improving their environmental impact. this study aims to improve system support for environmentally sustainable data centers by proposing a reconfigurable hardware accelerator for intensive computing primitives and developing a fractional nand flash cell to extend the lifetime of recycled flash chips while supporting graceful capacity degradation. we also introduce a sustainability estimator to evaluate user task energy consumption and promote sustainable practices. we present our preliminary results and recognize this as an ongoing initiative with significant potential to advance environmentally sustainable computing in data centers and stimulate further exploration in this critical research domain.",2024-03-19
"17",17,"as firm as their foundations: can open-sourced foundation models be used to create adversarial examples for downstream tasks?","anjun hu, jindong gu, francesco pinto, konstantinos kamnitsas, philip torr","computer vision and pattern recognition (cs.cv)","foundation models pre-trained on web-scale vision-language data, such as clip, are widely used as cornerstones of powerful machine learning systems. while pre-training offers clear advantages for downstream learning, it also endows downstream models with shared adversarial vulnerabilities that can be easily identified through the open-sourced foundation model. in this work, we expose such vulnerabilities in clip's downstream models and show that foundation models can serve as a basis for attacking their downstream systems. in particular, we propose a simple yet effective adversarial attack strategy termed patch representation misalignment (prm). solely based on open-sourced clip vision encoders, this method produces adversaries that simultaneously fool more than  downstream models spanning  common vision-language tasks (semantic segmentation, object detection, image captioning and visual question-answering). our findings highlight the concerning safety risks introduced by the extensive usage of public foundational models in the development of downstream systems, calling for extra caution in these scenarios.",2024-03-19
"18",18,"in-hand following of deformable linear objects using dexterous fingers with tactile sensing","mingrui yu, boyuan liang, xiang zhang, xinghao zhu, xiang li, masayoshi tomizuka","robotics (cs.ro)","most research on deformable linear object (dlo) manipulation assumes rigid grasping. however, beyond rigid grasping and re-grasping, in-hand following is also an essential skill that humans use to dexterously manipulate dlos, which requires continuously changing the grasp point by in-hand sliding while holding the dlo to prevent it from falling. achieving such a skill is very challenging for robots without using specially designed but not versatile end-effectors. previous works have attempted using generic parallel grippers, but their robustness is unsatisfactory owing to the conflict between following and holding, which is hard to balance with a one-degree-of-freedom gripper. in this work, inspired by how humans use fingers to follow dlos, we explore the usage of a generic dexterous hand with tactile sensing to imitate human skills and achieve robust in-hand dlo following. to enable the hardware system to function in the real world, we develop a framework that includes cartesian-space arm-hand control, tactile-based in-hand -d dlo pose estimation, and task-specific motion design. experimental results demonstrate the significant superiority of our method over using parallel grippers, as well as its great robustness, generalizability, and efficiency.",2024-03-19
"19",19,"diffusion, viscosity and linear rheology of valence-limited disordered fluids","samuel s. gomez, lorenzo rovigatti","soft condensed matter (cond-mat.soft)","we numerically investigate the dynamics and linear rheology of disordered systems made of patchy particles, focussing on the role of valence, temperature and bonding mechanism. we demonstrate that the dynamics is enslaved to bonding, giving rise to an activated behaviour at low temperature. by independently computing the diffusion constant and the viscosity from the simulations, we also confirm the validity of the stokes-einstein relation in valence-limited systems, with two caveats: (i) the diffusion constant requires a finite-size correction, at least at the intermediate density we investigate, and (ii) there is the onset of a breakdown that appears at the lowest temperatures considered. finally, our results show that the storage and loss moduli of mixtures of divalent and $m$-valent particles exhibit an apparent power-law dependence on frequency, hinting at the possibility of using the composition to finely tune the rheological response of these materials. our results compare well with literature experimental data on valence-limited dna nanostars. in addition, the wealth of data we present and analyse here will help to develop and test theoretical frameworks aimed at describing the dynamics of flexible limited-valence particles that self-assemble into disordered networks.",2024-03-19
"20",20,"existence, uniqueness and characterisation of local minimisers in higher order calculus of variations in $\mathrm l^{\infty}$","nikos katzourakis, roger moser","analysis of pdes (math.ap)","we study variational problems for second order supremal functionals $\mathrm f_\infty(u)= \|f(\cdot,u,\mathrm d u,\mathrm{a}\!:\!\mathrm d^u)\|_{\mathrm l^{\infty}(\omega)}$, where $f$ satisfies certain natural assumptions, $\mathrm a$ is a positive matrix, and $\omega \subset \mathbb r^n$. higher order problems are very novel in the calculus of variations in $\mathrm l^{\infty}$, and exhibit a strikingly different behaviour compared to first order problems, for which there exists an established theory, pioneered by aronsson in s. the aim of this paper is to develop a complete theory for $\mathrm f_\infty$. we prove that, under appropriate conditions, ``localised"" minimisers can be characterised as solutions to a nonlinear system of pdes, which is different from the corresponding aronsson equation for $\mathrm f_\infty$; the latter is only a necessary, but not a sufficient condition for minimality. we also establish the existence and uniqueness of localised minimisers subject to dirichlet conditions on $\partial \omega$, and also their partial regularity outside a singular set of codimension one, which may be non-empty even if $n=$.",2024-03-19
"21",21,"near-field channel estimation in dual-band xl-mimo with side information-assisted compressed sensing","haochen wu, liyang lu, zhaocheng wang","signal processing (eess.sp)","near-field communication comes to be an indispensable part of the future sixth generation (g) communications at the arrival of the forth-coming deployment of extremely large-scale multiple-input-multiple-output (xl-mimo) systems. due to the substantial number of antennas, the electromagnetic radiation field is modeled by the spherical waves instead of the conventional planar waves, leading to severe weak sparsity to angular-domain near-field channel. therefore, the channel estimation reminiscent of the conventional compression sensing (cs) approaches in the angular domain, judiciously utilized for low pilot overhead, may result in unprecedented challenges. to this end, this paper proposes a brand-new near-field channel estimation scheme by exploiting the naturally occurring useful side information. specifically, we formulate the dual-band near-field communication model based on the fact that high-frequency systems are likely to be deployed with lower-frequency systems. representative side information, i.e., the structural characteristic information derived by the sparsity ambiguity and the out-of-band spatial information stemming from the lower-frequency channel, is explored and tailored to materialize exceptional near-field channel estimation. furthermore, in-depth theoretical analyses are developed to guarantee the minimum estimation error, based on which a suite of algorithms leveraging the elaborating side information are proposed. numerical simulations demonstrate that the designed algorithms provide more assured results than the off-the-shelf approaches in the context of the dual-band near-field communications in both on- and off-grid scenarios, where the angle of departures/arrivals are discretely or continuously distributed, respectively.",2024-03-19
"22",22,"a benchmark for data management challenges in microservices","rodrigo laigner, zhexiang zhang, yijian liu, leonardo freitas gomes, yongluan zhou","databases (cs.db)","microservice architectures emerged as a popular architecture for designing scalable distributed applications. although microservices have been extensively employed in industry settings for over a decade, there is little understanding of the data management challenges that arise in these applications. as a result, it is difficult to advance data system technologies for supporting microservice applications. to fill this gap, we present online marketplace, a microservice benchmark that incorporates core data management challenges that existing benchmarks have not sufficiently addressed. these challenges include transaction processing, query processing, event processing, constraint enforcement, and data replication. we have defined criteria for various data management issues to enable proper comparison across data systems and platforms.
after specifying the benchmark, we present the challenges we faced in creating workloads that accurately reflect the dynamic state of the microservices. we also discuss implementation issues that we encountered when developing online marketplace in state-of-the-art data platforms, which prevented us from meeting the specified data management requirements and criteria. our evaluation demonstrates that the benchmark is a valuable tool for testing important properties sought by microservice practitioners. as a result, our proposed benchmark will facilitate the design of future data systems to meet the expectations of microservice practitioners.",2024-03-19
"23",23,"integrated distributed sensing and quantum communication networks","yuehan xu, tao wang, peng huang, guihua zeng","quantum physics (quant-ph)","the integration of sensing and communication can achieve ubiquitous sensing while enabling ubiquitous communication. within the gradually improving global communication, the integrated sensing and communication (isac) system based on optical fibers can accomplish various functionalities, such as urban structure imaging, seismic wave detection, and pipeline safety monitoring. with the development of quantum communication, quantum networks based on optical fiber are gradually being established. in this paper, we propose an integrated sensing and quantum network (isaqn) scheme, which can achieve secure key distribution among multiple nodes and distributed sensing under the standard quantum limit. cv-qkd protocol and the round-trip multi-band structure are adopted to achieve the multi-node secure key distribution. meanwhile, the spectrum phase monitoring (spm) protocol is proposed to realize distributed sensing. it determines which node is vibrating by monitoring the frequency spectrum and restores the vibration waveform by monitoring the phase change. the scheme is experimentally demonstrated by simulating the vibration in a star structure network. experimental results indicate that this multi-user quantum network can achieve a secret key rate (skr) of approximately . $\rm{mbits/s}$ for each user under  $\rm{km}$ standard fiber transmission and its network capacity is . in terms of distributed sensing, it can achieve a vibration response bandwidth ranging from  $\rm{hz}$ to  $\rm{khz}$, a strain resolution of . $\rm{n}$$\varepsilon$$/\sqrt{\rm{hz}}$, and a spatial resolution of . $\rm{m}$ under shot-noise-limited detection. the proposed isaqn scheme enables simultaneous quantum communication and distributed sensing in a multi-point network, laying a foundation for future large-scale quantum networks and high-precision sensing networks.",2024-03-19
"24",24,"preventing eviction-caused homelessness through ml-informed distribution of rental assistance","catalina vajiac, arun frey, joachim baumann, abigail smith, kasun amarasinghe, alice lai, kit rodolfa, rayid ghani","computers and society (cs.cy)","rental assistance programs provide individuals with financial assistance to prevent housing instabilities caused by evictions and avert homelessness. since these programs operate under resource constraints, they must decide who to prioritize. typically, funding is distributed by a reactive or first-come-first serve allocation process that does not systematically consider risk of future homelessness. we partnered with allegheny county, pa to explore a proactive allocation approach that prioritizes individuals facing eviction based on their risk of future homelessness. our ml system that uses state and county administrative data to accurately identify individuals in need of support outperforms simpler prioritization approaches by at least % while being fair and equitable across race and gender. furthermore, our approach would identify % of individuals who are overlooked by the current process and end up homeless. beyond improvements to the rental assistance program in allegheny county, this study can inform the development of evidence-based decision support tools in similar contexts, including lessons about data needs, model design, evaluation, and field validation.",2024-03-19
"25",25,"attitude tracking of uncertain flexible spacecraft systems subject to unknown external disturbances","zean bao, maobin lu, fang deng, jie chen","optimization and control (math.oc)","in this paper, we investigate the attitude tracking problem of uncertain flexible spacecraft systems subject to external disturbances. in sharp contrast to existing results, the dynamics of flexible spacecraft systems and external disturbances are allowed to be unknown. to deal with the challenges by these unknown factors, we develop a class of nonlinear internal models which converts the attitude tracking problem of uncertain flexible spacecraft systems into a regulation problem of an augmented system. furthermore, to overcome the difficulties caused by the unmeasurable modal variable, the uncertainty introduced by the internal model, and the cross-coupling of the uncertainties with the system state, we design an auxiliary dynamic system for auxiliary stabilization, a dynamic compensator for dynamic compensation, and a linearly parameterized transformation for adaptive regulation in sequence. by introducing a series of coordinate and input transformations, we propose an adaptive dynamic control law to achieve regulation of the augmented system and thus leading to the solution to the attitude tracking problem. in addition, we analyze the convergence issue of the estimated parameter to its true value by the persistently exciting condition. finally, the effec tiveness of the developed approach is verified by its application to the attitude manoeuvre of a flexible spacecraft system in the presence of external disturbances.",2024-03-19
"26",26,"multi-view active sensing for human-robot interaction via hierarchically connected tree","yuanjiong ying, xian huang, wei dong","robotics (cs.ro)","comprehensive perception of human beings is the prerequisite to ensure the safety of human-robot interaction. currently, prevailing visual sensing approach typically involves a single static camera, resulting in a restricted and occluded field of view. in our work, we develop an active vision system using multiple cameras to dynamically capture multi-source rgb-d data. an integrated human sensing strategy based on a hierarchically connected tree structure is proposed to fuse localized visual information. constituting the tree model are the nodes representing keypoints and the edges representing keyparts, which are consistently interconnected to preserve the structural constraints during multi-source fusion. utilizing rgb-d data and hrnet, the d positions of keypoints are analytically estimated, and their presence is inferred through a sliding widow of confidence scores. subsequently, the point clouds of reliable keyparts are extracted by drawing occlusion-resistant masks, enabling fine registration between data clouds and cylindrical model following the hierarchical order. experimental results demonstrate that our method enhances keypart recognition recall from .% to .%, compared to employing a single static camera. furthermore, in overcoming challenges related to localized and occluded perception, the robotic arm's obstacle avoidance capabilities are effectively improved.",2024-03-19
"27",27,"high-fidelity slam using gaussian splatting with rendering-guided densification and regularized optimization","shuo sun, malcolm mielle, achim j. lilienthal, martin magnusson","robotics (cs.ro)","we propose a dense rgbd slam system based on d gaussian splatting that provides metrically accurate pose tracking and visually realistic reconstruction. to this end, we first propose a gaussian densification strategy based on the rendering loss to map unobserved areas and refine reobserved areas. second, we introduce extra regularization parameters to alleviate the forgetting problem in the continuous mapping problem, where parameters tend to overfit the latest frame and result in decreasing rendering quality for previous frames. both mapping and tracking are performed with gaussian parameters by minimizing re-rendering loss in a differentiable way. compared to recent neural and concurrently developed gaussian splatting rgbd slam baselines, our method achieves state-of-the-art results on the synthetic dataset replica and competitive results on the real-world dataset tum.",2024-03-19
"28",28,"multi-mode fault diagnosis datasets of gearbox under variable working conditions","shijin chen, zeyi liu, xiao he, dongliang zou, donghua zhou","systems and control (eess.sy)","the gearbox is a critical component of electromechanical systems. the occurrence of multiple faults can significantly impact system accuracy and service life. the vibration signal of the gearbox is an effective indicator of its operational status and fault information. however, gearboxes in real industrial settings often operate under variable working conditions, such as varying speeds and loads. it is a significant and challenging research area to complete the gearbox fault diagnosis procedure under varying operating conditions using vibration signals. this data article presents vibration datasets collected from a gearbox exhibiting various fault degrees of severity and fault types, operating under diverse speed and load conditions. these faults are manually implanted into the gears or bearings through precise machining processes, which include health, missing teeth, wear, pitting, root cracks, and broken teeth. several kinds of actual compound faults are also encompassed. the development of these datasets facilitates testing the effectiveness and reliability of newly developed fault diagnosis methods.",2024-03-19
"29",29,"solving vibrational hamiltonians with neural canonical transformations","qi zhang, rui-si wang, lei wang","chemical physics (physics.chem-ph)","the behavior of polyatomic molecules around their equilibrium positions can be regarded as quantum coupled anharmonic oscillators. solving the corresponding schrödinger equations can interpret or predict experimental spectra of molecules. in this study, we develop a novel approach to solve excited states of anharmonic vibrational systems. the normal coordinates of molecules are transformed into new coordinates through a normalizing flow parameterized by a neural network, facilitating the construction of a set of orthogonal many-body variational wavefunctions. our methodology has been validated on an exactly solvable $$-dimensional coupled harmonic oscillator, yielding numerical results with a relative error on the order of $^{-}$. furthermore, the neural canonical transformations are also applied to calculate the energy levels of two specific molecules, acetonitrile ($\text{c}\text{h}_\text{cn}$) and ethylene oxide ($\text{c}_\text{h}_\text{o}$) involving $$ and $$ vibrational modes respectively, which are in agreement with experimental findings. one of the key advantages of our approach is its flexibility concerning the potential energy surface, requiring no specific form for its application. moreover, this method can be easily implemented on large-scale distributed computing platforms, making it particularly suitable for investigating more complex vibrational structures.",2024-03-19
