"","Product","TitleOfReview","ReviewerName","TypeOfPurchase","Date","IndividualRating","ReviewText"
"11","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","Very good IEM for the price.","DirkoNZ","Verified Purchase","Reviewed in the United States on 8 September 2023","5.0 out of 5 stars","      Bardzo dobre słuchawki o zrównoważonym brzmieniu. Kabel odpinany, dobrej jakości.    "
"12","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","Very good","bellcamp","Verified Purchase","Reviewed in Sweden on 25 November 2023","5.0 out of 5 stars","      Voy a ser muy breve en la reseña: que éstos IEM’s cuesten 18€ es un life hack, son una maravilla china, he probado muchos auriculares, y le pegan 80 patadas a muchos de 5 veces su precio; estoy pensando que ésto no les sale ni a cuenta a la empresa, cómo puede ser que ofrezcan ésto a ese precio, no tengo ni idea, pero ni te lo pienses al comprarlos. Para los que tienen dudas acerca del bajo, buen impacto sin distorsiones y sin opacar al resto de frecuencias, una verdadera chulada. Si me los pongo a ciegas y me dicen que son IEM’s de 200€, tengo serias dudas.Edit de 5 días después: todavía más convencido de lo que he puesto arriba; los uso para escuchar música y jugar a Valorant, y no defraudan en absolutamente nada, muy buena inmersión, los pasos se nota perfectamente de dónde vienen, y escucho aspectos del juego que con unos logitech de 200€ no escuchaba antes, durante más de 3 años jugando al juego. Sin duda alguna no voy a volver a comprarme unos cascos en mi vida, mientras existan cosas de18€ como ésta. Muy cómodos además, los llevas durante horas y perfecto.    "
"13","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","Starter IEM","JIMMY LIN","Verified Purchase","Reviewed in Australia on 23 February 2024","5.0 out of 5 stars","        Note: this review is all done with comply eartips, but the silicone tips included sound very similar if you can get a good seal.These things are amazing.. I picked them up after seeing Crinacle’s review of the original Moondrop Chu, and comparing other reviews between the Chu & Chu 2. The original Chu don’t have a removable cable, they have less bass, and a much more flat tuning which some may not enjoy as much for everyday listening. I listen to drum & bass more than anything else, so the decision was a no-brainer.Fitment: these are relatively small IEMs, so they sit almost flush with the outside of your ear, depending how deep you can insert the nozzle. That’s where one of the biggest complaints I have about these comes in. The nozzle width is massive, easily the largest of any IEMs I own. 500 series comply tips fit, but even the included silicone tips fit really tight around the nozzle. This means some people with smaller ear canals might not be able to fit these in as far as other IEMs. Otherwise they’re plenty comfortable, even when lying on your side to sleep.Build quality: they’re cheap, but don’t feel cheap like many chi-fi units. They’re apparently made of some metal alloy, but are still crazy light. They’re far from the flimsy garbage you’ll get with many KZ or other budget chi-fi brand models. Time will tell how they hold up, but I doubt they’ll see any damage beyond a few paint scratches here and there from tossing them into my bag.Sound: this is where things get crazy.. The original Chu scored so high on tuning that it was embarrassing a ton of $100 IEMs.. The technical capabilities fell short in comparison, but even then it’s far above what most would expect from something in this price bracket. Unfortunately I don’t have an original Chu to compare to, but from all I’ve seen these are more of a V shaped tuning. The bass is PHENOMENAL on these, which really surprised me. I’ve never heard sub bass this well done in IEMs before, period. I’ve listened to a wide selection over the years, from classic models like the Shure se215 (basically garbage now a days, frankly these outperform those in almost every way) to full customs worth over $1000. Nothing has hit me with this visceral sub bass. The best part is that it doesn’t muddy up the rest of the sound. The mid bass is still really punchy, and the mids stay well separated. The mids and highs are good, but not as crisp as I’d like. Comparing them to my Fiio F9 pro (dual BA for mids and highs, dedicated DD for lows) the brightness of the F9s really stood out, but they were also about 10x the price at launch. At the end of the day I have no complaints with the sound on these when considering just how ridiculously cheap they are, and have actually been using them above the rest of my IEMs just for that wicked sub bass.Accessories: they come with 3 pairs of silicone tips, which actually seem smaller than most (almost like they’re XS, S, and M). The included cable is fine, it doesn’t seem to tangle easily, and feels way more solid than the original cables that came with my F9 pros. They also include a little pouch that is serviceable, but a cheap zippered bag will do you much better for regular use.Overall: just buy them, you can’t go wrong for the price, and there’s really nothing else like this on the market right now. Unless you want to spend over $100, there’s no reason to look at anything else (aside from maybe the original Chu, but the lack of removable cable is a dealbreaker for me)  "
"14","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","Wonderful for the price, good upgrade from chu","Brandon Kleeman","Verified Purchase","Reviewed in Australia on 23 January 2024","5.0 out of 5 stars","      Son perfectos, y por el precio parecen definitivamente son lo mejor. Tienen un sonido nítido y con alta calidad. Los probé con un DAC y el sonido me encantó. La calidad de los materiales es buena, los audífonos son de metal y se sienten sólidos y algo pesados pero al usarlos no se siente, son muy cómodos. El cable es de calidad media, tengo unos zero red, y el cable es mejor que estos, sin embargo, por el precio son la mejor opción.    "
"15","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","The sound quality isn't what I expected.","Brandon Kleeman","Verified Purchase","Reviewed in Poland on 20 March 2024","5.0 out of 5 stars","      Pris pour du monitoring en répet et concert de musique. Moins insonorisant que des shure 215, mais 6x moins chers, avec un meilleur son !Portés toute une journée de répet sans probleme, les embouts en silicones fournis rentrent dans mes petit canaux d'oreilles dans lesquels je n'ai jamais reussi à faire tenir de bouchons d'oreille. J'ai quand même préféré utiliser des embouts en mousse acheter chez un vendeur tier.Cable assez cheap    "
"16","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","Moondrop Chu II","Timmy Nordqvist","Verified Purchase","Reviewed in Spain on 15 January 2024","5.0 out of 5 stars","        Great sound for the price.  "
"17","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","","wajaju","Verified Purchase","Reviewed in Canada on 16 January 2024","5.0 out of 5 stars","      Ben costruite, ottimo suono, leggermente carente nella coropsità ma per 19€ sono il top. Le trovo inoltre molto comode da indossare anche per ore. Super consigliate! Penso le migliori per il prezzo!    "
"18","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","Wow.. Best sub $100 iem available.","Adrián Chiloeches Navarro","Verified Purchase","Reviewed in Mexico on 12 February 2024","4.5 out of 5 stars","      Ich hatte die IEMs für meine Freundin besorgt nachdem sie mir mitgeteilt hatte, während ihrer Mittagspause ihre kpop Musik mit dem 10€ computer headset, was ich vor ein paar Jahren bei familla mitgenommen habe, zu hören. Die Meinungen über kpop gehen auseinander, aber jeder sollte der Meinung sein das nichts auf so einem Headset gut klingt.Ich habe also, als ein guter Freund, etwas recherchiert und bin auf die Chu II gestoßen. Der Reviewer Crinacle hatte ihnen drei von drei Sternen für Preis Leistung und ein B+ für Klang gegeben. Klang also ganz gut. (kleiner Scherz)Auch die Tatsache das die Gehäuse aus Metall und die Kabel und soweit ich verstanden habe auch die Filter abnehmbar sind, fand ich in Hinblick auf Langlebigkeit sehr gut. Nicht viel ist nerviger als ein Kopfhörer mit kaputtem Kabel. Die hier verwendeten Kabel scheinen einem Standard zu folgen und sind dementsprechend einfach zu ersetzen.Der Versand kann aus China und ich muss zugeben, dass ich ein paar mal schon geglaubt hatte, dass das Paket verloren gegangen war, als das tracking den dritten Tag in Folge sagte das Paket wäre immer noch beim einladen in ein Flugzeug in China. Aber es kam rechtzeitig an.Wegen dem geringen Preis hatte ich mich dagegen entschieden es zum Weihnachtsgeschenk zu machen, sondern war zum Nikolaus umgesprungen. Im Nachhinein hätte ich auch ohne Probleme beim Weihnachtsgeschenk bleiben können.Angefangen bei der Packung wirkt alles nach einem Premium Produkt. Die kleine fast schon für Schmuck geeignete Schachtel ist scharf und sauber mit dem kleinen Panda waifu bedruckt. Die Rückseite zeigt stolz die Frequenzkurve die mir als Laien wenig sagt aber durchaus geschätzt wird.Die IEMs selbst sind in Schaum eingebettet und wirken durch ihr Gewicht und metallisch kühle Oberfläche durchaus wertig.Als Neuling zu IEMs die nicht gratis zu einem Handy dazu kommen kann der Anschluß des Kabels etwas verwirrend sein, aber die beiliegende Anleitung erklärt dies ausreichend gut. Erstaunlicherweise ohne die üblichen Grammatik und Wort Fehlern üblich für günstige Elektronik aus China.Es hätte mir also ohne Probleme jeder abgenommen wenn ich an Heiligabend gesagt hätte das dies gerade so mit drei Coupons in unser 50€ Geschenk Budget rein gepasst hätte.Aber jetzt mal das wichtigste, der Klang.Sie klingen besser als sie jedes Recht haben.Die hohen Töne kann ich noch so gerade verstehen, aber wie diese kleinen Dinger es hin bekommen ernsthaften Bass zu erzeugen verstehe ich nicht.Ich habe kein Ohr dafür zu sagen ob das was man da hört Hifi oder wie vom Künstler beabsichtigt ist, aber ich kann sagen das es gut klingt.Ich bin mir sicher, dass die meisten Leute mit der hier gebotenen Klangqualität mehr als zufrieden sind.Nur für Sport im Freien sollte man sie nicht verwenden. Wenn die Teile im Ohr sind schirmen die alle anderen Geräusche ab. Steht auch tatsächlich auf dem Beipackzettel.    "
"19","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","Excelentes, lo compraré nuevamente para regalo.","Rory G.","Verified Purchase","Reviewed in France on 18 January 2024","5.0 out of 5 stars","        Likes:1. Very comfortable.2. Lovely, clear sound - no distortion or fuzz3. They are very stable in the ear.4. Light weight - light for IEMs at least.5. The price.Mehh:1. They work best when you tune your audio source - I use a Sony Xperia 10 V, and it took about 20 minutes to find the sweet spot for me, so the bass is not crazy, the mids are full and tonefull and the highs are level and not murdering your eardrum - once you find the right balance, you'll be in heavenly fidelity.2. The little carry case thing is bit blugh, it works, but it could be slightly bigger to account for the length of the cable and the IEM units. Trivial complaint in other words.Don't like:1. Nothing. These are fantastic for the price and the quality of sound is woth WAY more than the £18 they are charging.  "
"20","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","Excelentes, lo compraré nuevamente para regalo.","gilberto dominguez","Verified Purchase","Reviewed in the Netherlands on 25 March 2024","2.0 out of 5 stars","        Cheap IEMs great for the price!  "
"21","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","Super petits IEM","gilberto dominguez","Verified Purchase","Reviewed in Italy on 23 February 2024","5.0 out of 5 stars","        Great sound!  "
"22","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","Verified Purchase","Fabrice Leger","Verified Purchase","Reviewed in Germany on 4 January 2024","5.0 out of 5 stars","        The best according to quality and price  "
"23","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","Ben costruite, ottimo suono, leggermente carente nella coropsità ma per 19€ sono il top. Le trovo inoltre molto comode da indossare anche per ore. Super consigliate! Penso le migliori per il prezzo!","Stas","Verified Purchase","Reviewed in the United Kingdom on 19 March 2024","5.0 out of 5 stars","        Excellent quality,  unique colours, good sound and comfort. Reputable brand at an excellent price  "
"24","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","Verified Purchase","Andrea Rossi","Verified Purchase","Reviewed in Spain on 11 March 2024","5.0 out of 5 stars","        Love the colour, features, how they feel. Just nothing bad about them.  "
"25","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","Brilliant for the price","P. G. ","Verified Purchase","Reviewed in Australia on 8 March 2024","5.0 out of 5 stars","        Very good  "
"26","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","Verified Purchase","Garrington Levy","Verified Purchase","Reviewed in Australia on 17 December 2023","5.0 out of 5 stars","        Much better than the last model. Absolutely splendid!  "
"27","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","","xswetz","Verified Purchase","Reviewed in Australia on 17 September 2023","5.0 out of 5 stars","        Earbuds arrived faster than predicted and were safely packed.  "
"28","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","Size",NA,"Verified Purchase","Reviewed in Australia on 2 September 2023","5.0 out of 5 stars","        As described. Perfect to use and comfy to wear. Better than expected with clear sound and noise counselling.  "
"29","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","ABSOLUTLEY LOVE THESE!",NA,"Verified Purchase","Reviewed in Australia on 31 August 2023","5.0 out of 5 stars","        The delivery time and all the product is ok  "
"30","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","The best according to quality and price","Elizabeth Richardson","Verified Purchase","Reviewed in Australia on 21 August 2023","5.0 out of 5 stars","        Amazing sound quality, very convenient and robust touch features, and impressive noise cancelling and ambient sound modes.I had been concerned about purchasing this item based on a number of negative reviews related to the noise cancelling and sound quality, but I now understand that such reviews are most likely from ocd types with a superficial grasp on the topics of signal processing and electronic hardware.If you want absolute isolation to outside noise interference, opt for industrial grade ear plugs; noise cancellation is not a magic panacea.Moreover, for the physical size and price of these earbuds, the sound quality is quite impressive. You'd likely require in excess of several thousands of dollars for custom headphones if you're looking for studio quality sound.  "
"31","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","Amazing buds","Kenma","Verified Purchase","Reviewed in Australia on 21 August 2023","5.0 out of 5 stars","      Son pequeños y no pesan lo que los hace cómodos, buen sonido que claro no esperar como los de $2000, vale la pena por el precio, el cable se siente delgado    "
"32","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","Love them.","Jonathan Shorley","Verified Purchase","Reviewed in Australia on 19 August 2023","4.6 out of 5 stars","        TL;DR: How are these 20 bucks? They sound great and have an incredible metal build while being light  and comfortable. Buy these. WtfThe Build:How are these $20… This is the most premium headphone I've ever opened and it was $20. They're insane. They are metal. They feel substantial in your hand, but light when you put them in they are so small and the fit is incredible, unsurprising for IEMs anyways, but I have some CCZ coffee beans that fit great but are bigger so don't enter as deeply, so these definitely take the cake.They have a leather pouch which is Primo, and not what I was expecting (I didn't see any pics beforehand).The eartips are pretty standard (no foam) and do a good job blocking out the outside world, it’s no active noise canceling and I’ve used better passive, but again they’re 20 bucks.The cable is a bit thinner than other IEM’s I have, and they don't have controls or a microphone. There is a slightly more expensive version with a thicker cable and controls and a mic, although its’ USB-C? Honestly I like the cable, it's light and more out of the way, and if nothing else I’ll just use a different cable from another set of IEM’s.The Sound:They sound excellent. I do think that the mids and highs are a little darker than I'm used to, but it's nothing that I couldn't fix myself with an EQ. They’ve very detailed, I'm running them with the BTR 5 and with Wavelet on and they sound pretty crisp. They're not the most clean I've ever heard, but definitely up there, and ESPECIALLY for $20. I do wish they were treblier, but I’m being picky at that point.I listened to a FLAC of AM by the Arctic Monkeys and they sound real good.I’m not sure what else to say about the sound, it’s dark and bassy, but it's nice and smooth; it’s unlike the bass outta some headphones I’ve tried.They do get loud. I've been listening to them at 60 percent without issue, they do get too loud at about 85 percent, if you’re into that sort of thing.The Music:FLAC - AM by Arctic MonkeysFLAC - Discovery by Daft PunkFLAC - IGOR by Tyler, The CreatorSpotify - I Need to Start a Garden by Haley HeyndrickxSpotify - Locket by CrumbSpotify - Various songs by MitskiThe Conclusion:I'm definitely going to be daily driving them at least for a bit, and again just an incredible package for 20 bucks (I'm excited for the leather pouch). I’m thinking these will be a great gift for friends.The Waifu:Excellent, my wife likes pandas lol  "
"33","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","Very good","Diego6sic6","Verified Purchase","Reviewed in Australia on 17 August 2023","5.0 out of 5 stars","      La iem migliore che tu possa acquistare a quel prezzo, non c’è dubbio.Costruzione in alluminio, qualità audio eccellente per utilizzo quotidiano, leggera e comoda.Ottimo acquisto .. meglio di alcune cuffie (soprattutto quelle da gaming) anche sopra i 100€.Consigliatissime.    "
"34","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","Great headphones","Melanie","Verified Purchase","Reviewed in Australia on 1 August 2023","3.0 out of 5 stars","      Nawet nie ma porównania do innych słuchawek w tym zakresie cenowym. Doskonale zbalansowane, a jednocześnie niewyjałowione neutralnym brzmieniem. Przyjemność ze słuchania jest niewyobrażalna. Przerobiłem inne polecane chińczyki poniżej 100zł i żadne nie dorastają nawet do pięt ww. wynalazkom.    "
"35","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","Quality product and fast delivery","Steven","Verified Purchase","Reviewed in Australia on 31 July 2023","5.0 out of 5 stars","        I like these better than my 7hz Salnotes zero and these are cheaper. Smaller and more comfortable and i enjoy the soundprofile more, and i use mine for my pc, mostly gaming and media.  "
"36","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","Comfort?","Awesome","Verified Purchase","Reviewed in Australia on 30 July 2023","5.0 out of 5 stars","      Ce n'est pas le meilleur son du monde, mais il mettent à l'amende pas mal de modèles à 60€.Le bundle ne gâche rien.Bizarrement je suis plus à l'aise avec de gros embouts sans les faire pénétrer totalement dans mon canal auditif, ce n'est pourtant pas mon habitude.    "
"37","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","Exact time","PaulS","Verified Purchase","Reviewed in Australia on 23 February 2024","5.0 out of 5 stars","        I have a lot of IEM’s (about 25) ranging fro 17,- euro up to 599,- euro.These IEM’s sound absolutely amazing. The treble is not harsh or fatiguing and the bass is just right. I use them daily now, especially before I go to sleep. At this moment I only use the Chu 2 and my HiFiMan re800. All my other IEM’s are currently not in use. In my opinion these earphones sound like they cost between 80,- and 120,- euro or even more, sounding better then my KZ PR1 Pro, Hidisz MS2 and Hidisz MS3 that cost about 5 times more than the Chu 2.I strongly recommend the Chu 2, no need to buy more expensive earphones. In my opinion the best IEM of 2023.  "
"38","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","One of the best in-ear headphones","Johanna","Verified Purchase","Reviewed in Australia on 23 January 2024","5.0 out of 5 stars","        Yeah, these are dirt cheap and they sound great and they hold up well. Not sure what else you could say about them. I had the Chu 1s, and they were sibilant, they could be fatiguing. Don't have that problem with these. These are my go to convenience wired headphones right now.  "
"39","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","Wonderful for the price, good upgrade from chu","Krystal","Verified Purchase","Reviewed in Germany on 2 February 2024","5.0 out of 5 stars","        I'm surprised to see some rather mediocre reviews re these Chu 2s as I found them to be clear, open (for IEMs), have good soundstage (for IEMs), have no overwhelming bass or treble, no treble splash, no noticeable straining at higher volumes, no over or under presentation of male or female singers & a good balance between instruments & voices. They are also easy to drive.The earphones are very well made using zinc alloy (completely I think) & are a steal at £19.  They are very compact, lightweight & not at all bulky - diminutive. However, their sound is not hampered by their physical size.  The unique aluminium/magnesium diaphragm used seems to have made a big positive difference to the overall sound.I didn't use the cable that came with the phones - instead I used a reference one & this proved that the Chu's are worthy of upgrading the cable if you want to improve sound quality.  These probably aren't for those who consider themselves baseheads but will suit those looking for good sound accuracy & a balanced sound.  In my opinion, they're worthy successors to the original Chu's.  Recommended  "
"40","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","The sound quality isn't what I expected.","Andres Sebastián","Verified Purchase","Reviewed in Mexico on 14 March 2024","5.0 out of 5 stars","        I feel like I just robbed someone. These sound better then earphones costing over $200. I had to come here just to write a review. These sound almost like over ear headphones they have a wider soundstage then any other earphones. The lows are phenomenal and the mids & highs. These are perfection and they get loud. The highs are perfect not harsh or fatiguing at all, but still energetic n nice highs. Super deep nice lows, natural mids. They sound very full and big something you would expect from much bigger drivers like over ear headphones. Plus the build quality alone makes it worth the money, they are all metal and again better then earphones costing $200+. The wire is amazing and I would pay the money for the wire alone, its detachable and you can add in a wire with a mic or a balanced cable. Also comes with a nice high quality carrying case, some sort of soft feeling leather.  "
"41","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","","PeetL",NA,"Reviewed in the United States on 17 February 2024","5.0 out of 5 stars",NA
"42","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","","Suko",NA,"Reviewed in Italy on 29 February 2024","5.0 out of 5 stars",NA
"43","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","
                Cómodos
            ","G. Barajas",NA,"Reviewed in Poland on 8 January 2024","5.0 out of 5 stars",NA
"44","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","How are these 20 bucks?","G. Barajas",NA,"Reviewed in Sweden on 8 January 2024","5.0 out of 5 stars",NA
"45","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","
                How are these 20 bucks?
            ","Marcel Martinez-Alvarez",NA,"Reviewed in France on 27 December 2023","4.5 out of 5 stars",NA
"46","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","","Marcel Martinez-Alvarez",NA,"Reviewed in the Netherlands on 25 August 2023","5.0 out of 5 stars",NA
"47","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","","Samuel ",NA,"Reviewed in Canada on 15 February 2024","2.0 out of 5 stars",NA
"48","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","Great for the price","Jakub",NA,"Reviewed in the United Kingdom on 27 October 2023","5.0 out of 5 stars",NA
"49","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","","Fredrik Luther",NA,NA,"5.0 out of 5 stars",NA
"50","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","Fantastic sound!","jos",NA,NA,"5.0 out of 5 stars",NA
