"","Name","Date","IndividualRating","Review"
"11","Gordon Stubbs","Reviewed in Australia on 23 August 2021","2.0 out of 5 stars",NA
"12","Mel Pearce","Reviewed in Australia on 17 December 2020","3.0 out of 5 stars",NA
"13","FireOneNineYT ","Reviewed in Australia on 18 November 2023","4.6 out of 5 stars","        I ordered this Echo Gen 4 last night, Black Friday sale price $72 AU- down from $169. Received it a few hrs ago. Plugged it in. Downloaded the Alexa app', and away we go. I bought it to replace a battery Ryobi speaker in bathroom. This Echo has great immersive sound, rich & full bass. More than loud enough for the bathroom. I immediately went & plugged it into the tv. Two of these Echos would be great tv speakers. I'm all sorted for tv speakers for all 3 tv setups, with Denon, Meredo, & Technics sound bars & speakers. But a twin setup of these Echos would give any of my other setups a run for their money at half the price & twice the functionality. Interested in how much better the Gen 5's are. A very happy customer. Thanks Amazon 👍Edit- it's been a week & I'm even more impressed with this speaker. This Echo 4th gen punches WAAAY above its weight. Alexia AI is very good. Very intuitive. Hasn't missed a beat. I'm very very impressed. I'll be replacing my bedroom $400 soundbar with two more of these Echo 4th or 5th Gen's synced & linked together. The sound is spot on- beautifully balanced. The bass is rich & punchy. Haven't needed past level 7 volume- mostly 4-6. Can't recommend this product enough 👍  "
"14","Johnny Lin","Reviewed in Australia on 29 December 2023","5.0 out of 5 stars","        Awesome fast service, the device is great to use, had a few little issues connecting to wi-fi (was a little slow) but got there in the end. Speaker quality is good, but not great, would have preferred something with a little move oomph. But can't complain it does the job and is a great new addition to the house. Can set alarms with ease when cooking, appointment reminders, etc. I listen to my Spotify and favorite local radio station with ease, can even increase and decrease volume with word commands, even mute it if you need to make a call. I haven't explored everything this little lady can do, nor adapted it for other smart function such as lights, TV and other smart devices. Small steps LOL  "
"15","FireOneNineYT ","Reviewed in Australia on 18 November 2023","3.0 out of 5 stars","        Echo meets all my needs. It would be better if there was an equaliser function available as the base response is not what I like.  "
"16","Scott","Reviewed in Australia on 21 October 2023","5.0 out of 5 stars","        Great device  "
"17","Richard W.","Reviewed in Australia on 4 January 2024","5.0 out of 5 stars","        Writing this review as a first time smart-speaker owner, I don't have any real comparison to similar products.Setup was a breeze. Under 5 minutes from opening the box I had it fully working with my voice. No unnecessary packaging or complicated guides, just a 1 page quick-start.Sound quality is good. It isn't something that I was blown away by, but the music I listen to stays clear enough in my medium sized room even at the loudest volume.Construction feels solid. I'm fairly sure the courier threw it over my fence and the product sustained no damage. The blue colour is fairly subtle and goes with most of my furniture, happy with this decision over the more bland white/ black options.The virtual assistant (Alexa/ Echo) works well and for me was very intuitive. The app is able to teach you any voice commands if you are wondering how to set up a very specific thing, but I've found my first guess almost always works. It was also able to respond to French commands as well as English without any additional setup.Used this speaker predominately to play music/ set timers while I'm cooking, or to get a news/ weather update while I'm running around doing my morning routine. Very convenient being able to set these things up when your hands are busy.Overall very happy with my purchase.  "
"18","Lesley","Reviewed in Australia on 23 December 2023","4.0 out of 5 stars","        If you're planing to 'alexa' your home, spend the extra money and get the premium sound version. No, it wont be as good as a multi room Bose system, but it wont put the same massive dent in your bank account either. Really good sound for the average listener that only requires a power point to work. My tip is put two of these in each room to get a truly dynamic sound at an affordable price, along with all the other features such as news and weather they provide. Also integrated really well with Ring doorbells and smart plugs.  "
"19","Korellai","Reviewed in Australia on 16 April 2021","5.0 out of 5 stars","        I’ve recently been getting into audio books and wanted something I could easily listen to them with when I’m in bed. After a little research I decided the new Echo was going to best for my needs, especially with the deal Amazon had running at the time - almost half price for the premium sound option!Being a bit of an audiophile / snob, some of the reviews did make me a little anxious that it wouldn’t live up to expectations - how wrong they were. I’m not sure if these reviewers got a device from a ‘bad batch’, but the audio quality is actually amazing, from a device so small and with such an interesting design. I’m extremely impressed. The microphone has never missed a beat either, I’ve not had to repeat myself once. Maybe software has improved the reliability of this since the other reviewers posted about theirs not always working? Not sure. But mine is perfectly fine.As for Alexa in general, I can’t get over how good it is. It understands my commands straight away and does what I ask almost instantly. Want to listen to a UK radio station? Just say ‘Alexa, play BBC radio 1’. Less than a second later, it’s on. Want to know how to say something in Chinese? Just ask. She’ll tell you, then go straight back to what was playing.I know I’m only just scratching the surface with what Alexa can do but coming from someone who’s resisted voice control for a number of years either due to its reputation of being ‘not good enough yet’ or just feeling gimmicky, I’m glad I finally pulled the trigger. This Echo is easily my new favourite thing. And for only 80 bucks, it’s an absolute steal for the sound quality and ease of use.  "
"20","Stuart Burney","Reviewed in Australia on 29 December 2022","5.0 out of 5 stars","        For context: I own the echo dot 3rd gen, echo dot 4th gen, Echo plus 2nd gen and now the Echo 4th gen.Let's get right to why this isn't a five star review. The microphones. Amazon actually took a step backwards and went with a 4 microphone array that is inferior to the Echo plus 2nd gen (and echo 3rd gen), which have a seven microphone array. This is the only downfall of this speaker.I'm not a big fan of the spherical design either but that's a subjective opinion. What that translates to in the real world is a voice pickup that is good but not great. This was a major disappointment for me since I use my Echo speakers to control all smart home devices (~30 devices) and mic pickup is crucial for that.As for what this speaker does right:-Better sound quality with a bigger emphasis on mid range. It won't blow you away. It's still V shaped and punchy but it's good. The treble was a little spikey for me but it's a step in the right direction regardless-Faster processor. Everything it does it just a little bit more snappy than the other models-Support for Matter. It's not released yet but this will make a huge difference in the future-The power adaptor is slimmer and no longer blocks the neighbouring power socket. FINALLY.-Zigbee support. My Echo plus 2nd gen has this and little door sensors have changed my smart home gameWhat could use some improvement:-Apparently this speaker has an ultrasound sensor. Apparently it's about as useful as if it didn't. Tried it on this speaker and the 4th gen echo dot for triggering smart home routines and it did absolutely nothing. Who knows, updates might fix this-the sphere can hide that light ring at the bottom sometimes so you don't know if Alexa heard you or is just giving you attitude-the black speaker now comes with a white adaptor? WHYY-this has a new low power mode. And this supposed low power mode doesn't work if you have Spotify linked to your echo speaker. Are you okay Amazon? Spotify is the most used music streaming serviceTLDR: this speaker is a compelling product in the echo line-up and has so much more potential. It has a few shortcomings and a couple of hiccups but it's a solid pick. I'd hesitate to pay full price but it's a strong contender on sale.  "
"21","Adam Lang","Reviewed in Australia on 9 December 2021","5.0 out of 5 stars","        I’ve purchased a second one on sale and added it to my corner desk. Paired with an Echo sub they sound perfectI stream all MY music collection via Plex on my NAS. A lifetime pass so no more subscriptions to hold me to ransom for all the work and time I put into curating my playlists and music  "
"22","Wallace Fernandes","Reviewed in Australia on 25 July 2022","5.0 out of 5 stars","        She's a beauty mate, :}  "
"23","Wallace Fernandes","Reviewed in Australia on 9 January 2024","4.0 out of 5 stars",NA
"24","Nicolas","Reviewed in Australia on 5 January 2024","4.0 out of 5 stars",NA
"25","Razzle",NA,"4.0 out of 5 stars",NA
